info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:50:22"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:51:29"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:51:29"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:51:33"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:51:33"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:52:10"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:52:13"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:55:24"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:56:14"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:56:44"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:57:10"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:57:10"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:57:12"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:57:50"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:57:50"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:57:53"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:59:26"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:59:26"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:59:28"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:59:36"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 07:00:21"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 07:00:21"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 07:00:23"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 07:00:47"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 07:00:47"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 07:00:49"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 07:00:54"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 07:01:21"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 07:01:21"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 07:01:23"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 07:01:30"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 07:01:30"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 07:01:30"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 07:01:34"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 07:02:02"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 07:02:30"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 07:02:39"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 07:03:03"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 07:03:03"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 07:03:06"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 07:03:12"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 07:03:42"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 07:04:16"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 07:04:16"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 07:04:18"}
